Date,avg_temp_max,avg_temp_min,avg_humidity_max,avg_humidity_min,crop_diseases
01-01-17,21.1,10.2,100,57,Early Blight
02-01-17,21.6,9.9,100,55,Early Blight
03-01-17,21.6,12.2,97,54,Late Blight
04-01-17,21.7,11.9,91,52,Late Blight
05-01-17,21.1,12.3,96,62,Late Blight
06-01-17,19,10.4,98,70,Late Blight
07-01-17,16.3,7.3,98,61,Early Blight
08-01-17,16.7,6.7,99,52,Early Blight
09-01-17,16.6,4.3,95,35,Early Blight
10-01-17,16.1,3.1,78,31,Healthy
11-01-17,16.8,2.4,88,30,Healthy
12-01-17,17.1,3.7,93,34,Early Blight
13-01-17,17.4,3.8,88,38,Healthy
14-01-17,15.7,6.4,86,51,Healthy
15-01-17,18.6,8.1,93,38,Early Blight
16-01-17,15,5.6,98,48,Early Blight
17-01-17,16,6.1,94,48,Early Blight
18-01-17,16.5,5,96,51,Early Blight
19-01-17,16.9,5.8,95,46,Early Blight
20-01-17,18.7,4.8,93,42,Early Blight
21-01-17,18.3,7.2,90,40,Healthy
22-01-17,19.6,6.5,97,46,Early Blight
23-01-17,19.7,6.7,94,40,Early Blight
24-01-17,18.2,8.3,95,53,Early Blight
25-01-17,16.4,11.5,98,75,Late Blight
26-01-17,15.9,9.6,100,88,Early Blight
27-01-17,16.6,7.4,100,68,Early Blight
28-01-17,18.8,7.1,100,59,Early Blight
29-01-17,20.3,9.2,95,53,Late Blight
30-01-17,18.3,8.3,99,60,Early Blight
31-01-17,19.9,8.9,99,58,Early Blight
01-02-17,20.2,7.8,98,51,Early Blight
02-02-17,20.1,8.4,100,52,Early Blight
03-02-17,20.3,7.7,100,53,Early Blight
04-02-17,22.1,10.7,95,62,Late Blight
05-02-17,20.6,9.8,100,57,Early Blight
06-02-17,18,7.9,92,54,Early Blight
07-02-17,19.2,7.6,94,50,Early Blight
08-02-17,19.7,9.3,93,49,Late Blight
09-02-17,20,7.2,89,45,Healthy
10-02-17,20.7,6.7,89,36,Healthy
11-02-17,21.2,6.2,92,34,Early Blight
12-02-17,21.4,7.7,91,42,Early Blight
13-02-17,23.1,7.2,92,41,Early Blight
14-02-17,23.1,7.9,87,39,Healthy
15-02-17,25.4,9.9,92,40,Late Blight
16-02-17,25.6,11.9,84,40,Late Blight
17-02-17,25.9,12.5,93,42,Late Blight
18-02-17,27.5,13.5,89,39,Healthy
19-02-17,26.6,14.1,96,42,Early Blight
20-02-17,23.6,12.4,100,55,Early Blight
21-02-17,23.6,10.8,98,30,Late Blight
22-02-17,23.6,9.4,99,27,Late Blight
23-02-17,24.4,9.9,70,24,Late Blight
24-02-17,25.3,9,68,16,Healthy
25-02-17,25.7,8.7,77,27,Healthy
26-02-17,26.9,10.1,77,20,Late Blight
27-02-17,27,9.3,88,21,Late Blight
28-02-17,23.8,13,87,34,Late Blight
01-03-17,25.3,11.2,85,31,Late Blight
02-03-17,24.9,10.5,91,25,Late Blight
03-03-17,24.7,10.7,74,25,Late Blight
04-03-17,25.8,10.7,72,21,Late Blight
05-03-17,26.5,10.8,69,15,Healthy
06-03-17,27,10.8,64,21,Healthy
07-03-17,21.7,11.3,86,47,Late Blight
08-03-17,23.4,11.5,96,39,Late Blight
09-03-17,20.8,10.7,97,57,Late Blight
10-03-17,18,8.6,100,59,Early Blight
11-03-17,19,7.4,100,49,Early Blight
12-03-17,21.2,7.7,97,28,Early Blight
13-03-17,22.4,8.5,79,29,Healthy
14-03-17,23.3,10.2,87,33,Late Blight
